"SalonID","SalonName","ServiceId","Region","City","OpeningTIme","ClosingTime","Rating","Phonenumber"
"1","Emi lee-Beauty salon","1","Center","Tel Aviv","10:00:00.00","20:00:00.00","4.6","0502766290"
"2","IILA BERLIN ","1","Center","Petah Tikva","09:00:00.00","21:00:00.00","4.6","07776704640"
"3","Sharoomba Cosmetics","1","Center","Tel Aviv","09:00:00.00","21:00:00.00","4.8","0547506557"
"4","Orchid","1","Center","Kfar Saba","09:00:00.00","20:00:00.00","4.7","0747691289"
"5","Hani Cosmetics ","1","Center","Kiryat Malakhi","09:00:00.00","19:00:00.00","4.3","088587891"
"6","ReFace","1","Center","Beit Jann","10:00:00.00","20:00:00.00","5.0","088587891"
"7","M.K.Beauty","1","Center","Rishon Lezion","09:00:00.00","20:00:00.00","5.0","0509887199"
"8","Batya Care & Beauty ","1","North","Nahariya","09:00:00.00","21:00:00.00","4.9","046802828"
"9","Dr Beauty ","1","North","Kiryat Bialik","08:30:00.00","20:00:00.00","4.7","0527863873"
"10","Spring studio","1","North","Haifa","09:00:00.00","20:00:00.00","4.9","05057774045"
"11","Helenayz","1","North","Haifa","08:00:00.00","21:30:00.00","5.0","0585596355"
"13","Roz Clinic","1","South","Be'er Sheva","10:00:00.00","19:00:00.00","4.8","086513032"
"14","Yullia","1","South","Jerusalem","09:00:00.00","19:00:00.00","4.3","0547184856"
"15","Flori Beauty Center","1","South","Yeruham","09:00:00.00","20:00:00.00","5.0","0545483884"
"16","Valery Secret","1","South","Be'er Sheva","10:00:00.00","17:00:00.00","4.9","0544703349"
"17","Zohra","1","South","Kiryat Gat","08:30:00.00","20:30:00.00","5.0","086810707"
"18","Elvins","2","North","Kiryat Motzkin","09:00:00.00","20:00:00.00","4.8","0525211970"
"19","Weins","2","North","Haifa","12:00:00.00","21:00:00.00","4.9","046016383"
"20","Carmel Hair Design","2","Center","Netanya","10:00:00.00","19:00:00.00","4.9","0543320377"
"21","Aviv Gaby ","2","North","Karmiel","09:00:00.00","20:00:00.00","4.8","0526888914"
"22","Amit Marima","2","North","Kiryat Motzkin","10:00:00.00","20:00:00.00","4.9","0526701529"
"23","Ringo","2","North","Haifa","09:00:00.00","00:00:00.00","5.0","0543015202"
"24","Barberia","2","Center","Tel Aviv","11:00:00.00","20:00:00.00","4.5","0507744287"
"25","STAV","2","Center","Rosh HaAyin","07:30:00.00","22:00:00.00","5.0","0503422667"
"26","Jamili","2","Center","Tel Aviv","10:00:00.00","20:00:00.00","4.7","036767609"
"27","Baruch Elizarov","2","South","Jerusalem","09:30:00.00","20:00:00.00","4.9","0523658488"
"28","STERN","2","South","Beersheba","10:00:00.00","20:00:00.00","5.0","0587061308"
